ResponseId,MainBranch,Age,Employment,RemoteWork,Check,CodingActivities,EdLevel,LearnCode,LearnCodeOnline,TechDoc,YearsCode,YearsCodePro,DevType,OrgSize,PurchaseInfluence,BuyNewTool,BuildvsBuy,TechEndorse,Country,Currency,CompTotal,LanguageHaveWorkedWith,LanguageWantToWorkWith,LanguageAdmired,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,DatabaseAdmired,PlatformHaveWorkedWith,PlatformWantToWorkWith,PlatformAdmired,WebframeHaveWorkedWith,WebframeWantToWorkWith,WebframeAdmired,EmbeddedHaveWorkedWith,EmbeddedWantToWorkWith,EmbeddedAdmired,MiscTechHaveWorkedWith,MiscTechWantToWorkWith,MiscTechAdmired,ToolsTechHaveWorkedWith,ToolsTechWantToWorkWith,ToolsTechAdmired,NEWCollabToolsHaveWorkedWith,NEWCollabToolsWantToWorkWith,NEWCollabToolsAdmired,OpSysPersonal use,OpSysProfessional use,OfficeStackAsyncHaveWorkedWith,OfficeStackAsyncWantToWorkWith,OfficeStackAsyncAdmired,OfficeStackSyncHaveWorkedWith,OfficeStackSyncWantToWorkWith,OfficeStackSyncAdmired,AISearchDevHaveWorkedWith,AISearchDevWantToWorkWith,AISearchDevAdmired,NEWSOSites,SOVisitFreq,SOAccount,SOPartFreq,SOHow,SOComm,AISelect,AISent,AIBen,AIAcc,AIComplex,AIToolCurrently Using,AIToolInterested in Using,AIToolNot interested in Using,AINextMuch more integrated,AINextNo change,AINextMore integrated,AINextLess integrated,AINextMuch less integrated,AIThreat,AIEthics,AIChallenges,TBranch,ICorPM,WorkExp,Knowledge_1,Knowledge_2,Knowledge_3,Knowledge_4,Knowledge_5,Knowledge_6,Knowledge_7,Knowledge_8,Knowledge_9,Frequency_1,Frequency_2,Frequency_3,TimeSearching,TimeAnswering,Frustration,ProfessionalTech,ProfessionalCloud,ProfessionalQuestion,Industry,JobSatPoints_1,JobSatPoints_4,JobSatPoints_5,JobSatPoints_6,JobSatPoints_7,JobSatPoints_8,JobSatPoints_9,JobSatPoints_10,JobSatPoints_11,SurveyLength,SurveyEase,ConvertedCompYearly,JobSat
34,I am a developer by profession,35-44 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Apples,I don’t code outside of work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;On the job training;Other online resources (e.g., videos, blogs, forum, online community);School (i.e., University, College, etc);Online Courses or Certification","Technical documentation;Stack Overflow;Video-based Online Courses;Online challenges (e.g., daily or weekly coding challenges)",API document(s) and/or SDK document(s),18,16,"Developer, back-end",NA,NA,NA,NA,NA,Japan,NA,NA,Bash/Shell (all shells);Python,Bash/Shell (all shells);Go;Python;TypeScript,Bash/Shell (all shells);Python,Cassandra;Elasticsearch,Cassandra;Clickhouse;Elasticsearch;Redis,Cassandra;Elasticsearch,NA,NA,NA,FastAPI,FastAPI,FastAPI,NA,NA,NA,Ruff,Pandas;Ruff,Ruff,Ansible;Docker;Homebrew;Kubernetes;Pip;Terraform,Ansible;Docker;Homebrew;Kubernetes;Pip;Terraform,Ansible;Docker;Homebrew;Kubernetes;Pip;Terraform,IPython;Visual Studio Code,IPython;Visual Studio Code,IPython;Visual Studio Code,MacOS,MacOS,Confluence;Jira;Miro,Confluence;Jira;Miro,Confluence;Jira;Miro,Microsoft Teams;Slack;Zoom,Microsoft Teams;Slack;Zoom,Microsoft Teams;Slack;Zoom,NA,NA,NA,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,A few times per week,Quickly finding code solutions;Engage with community by commenting on questions and answers or voting on questions and answers,"Yes, somewhat","No, but I plan to soon",Indifferent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Imitating a person's likeness,"Don’t trust the output or answers;AI tools lack context of codebase,  internal architecture, and/or company knowledge;We don’t have the right policies in place to reduce security risks",Yes,People manager,16,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Strongly disagree,1-2 times a week,1-2 times a week,1-2 times a week,60-120 minutes a day,60-120 minutes a day,Amount of technical debt;Tracking my work;Showing my contributions;Complexity of tech stack for deployment,DevOps function;Automated testing;Observability tools;Microservices;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery,On-prem,Other:,"Internet, Telecomm or Information Services",20,0,5,15,15,20,0,0,25,Appropriate in length,Neither easy nor difficult,NA,6
35,I code primarily as a hobby,Under 18 years old,"Student, full-time",NA,Apples,NA,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","On the job training;Other online resources (e.g., videos, blogs, forum, online community)","Technical documentation;Stack Overflow;Interactive tutorial;Online challenges (e.g., daily or weekly coding challenges)",User guides or README files found in the source repository;Traditional public search engine,5,NA,Student,NA,NA,NA,NA,NA,United States of America,NA,NA,C++;HTML/CSS;Java;JavaScript;MATLAB;Perl;PowerShell;Python;SQL;TypeScript,C++;Dart;Go;HTML/CSS;PowerShell;Python;Rust;SQL;TypeScript,C++;HTML/CSS;PowerShell;Python;SQL;TypeScript,NA,NA,NA,Microsoft Azure;Oracle Cloud Infrastructure (OCI);PythonAnywhere,Microsoft Azure;Oracle Cloud Infrastructure (OCI);PythonAnywhere,Microsoft Azure;Oracle Cloud Infrastructure (OCI);PythonAnywhere,Django;FastAPI;jQuery;Next.js;Node.js;React,Django;FastAPI;Htmx;Next.js;Node.js;React,Django;FastAPI;Next.js;Node.js;React,Arduino;Rasberry Pi,Arduino;CMake;Rasberry Pi,Arduino;Rasberry Pi,NumPy;Pandas,.NET (5+) ;Electron;Flutter;Hugging Face Transformers;NumPy;Pandas;React Native;TensorFlow,NumPy;Pandas,Gradle;npm;Pip;Unity 3D;Webpack;Yarn,Pip;pnpm;Webpack;Yarn,Pip;Webpack;Yarn,IPython;Vim;Visual Studio Code,IPython;Vim;Visual Studio Code,IPython;Vim;Visual Studio Code,Android;Ubuntu;Windows,Windows,NA,NA,NA,Discord;Slack;Whatsapp;Zoom,Slack;Whatsapp;Zoom,Slack;Whatsapp;Zoom,ChatGPT;GitHub Copilot;Google Gemini;WolframAlpha,ChatGPT;GitHub Copilot;Google Gemini;Meta AI;WolframAlpha,ChatGPT;GitHub Copilot;Google Gemini;WolframAlpha,Stack Overflow;Stack Exchange;Stack Overflow Blog or Podcast,A few times per week,Yes,A few times per month or weekly,Finding reliable guidance from community-vetted answers;Engage with community by commenting on questions and answers or voting on questions and answers,"Yes, definitely",Yes,Favorable,Increase productivity;Greater efficiency,Somewhat distrust,Bad at handling complex tasks,Writing code;Documenting code,Learning about a codebase;Debugging and getting help;Testing code,Project planning;Committing and reviewing code;Deployment and monitoring;Predictive analytics;Search for answers;Generating content or synthetic data,,,Writing code,,,No,Circulating misinformation or disinformation;Imitating a person's likeness,"Don’t trust the output or answers;AI tools lack context of codebase,  internal architecture, and/or company knowledge",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Too short,Easy,NA,NA
36,I am a developer by profession,25-34 years old,"Employed, full-time",Remote,Apples,Hobby;Freelance/contract work,Some college/university study without earning a degree,"Books / Physical media;On the job training;Other online resources (e.g., videos, blogs, forum, online community);School (i.e., University, College, etc);Online Courses or Certification",Technical documentation;Written Tutorials;Stack Overflow;Social Media;How-to videos;AI,API document(s) and/or SDK document(s);User guides or README files found in the source repository,10,6,"Developer, full-stack",NA,NA,NA,NA,NA,United States of America,NA,NA,Bash/Shell (all shells);C#;C++;HTML/CSS;PowerShell;Python;SQL;VBA,Bash/Shell (all shells);C#;HTML/CSS;Python;SQL,Bash/Shell (all shells);C#;HTML/CSS;Python;SQL,Microsoft SQL Server,Microsoft SQL Server,Microsoft SQL Server,Microsoft Azure;VMware,Microsoft Azure,Microsoft Azure,ASP.NET;ASP.NET CORE;Blazor,ASP.NET CORE;Blazor,ASP.NET CORE;Blazor,NA,NA,NA,.NET (5+) ;Xamarin,.NET (5+) ,.NET (5+) ,Visual Studio Solution,Visual Studio Solution,Visual Studio Solution,Visual Studio;Visual Studio Code,Visual Studio;Visual Studio Code,Visual Studio;Visual Studio Code,Windows,Windows,GitHub Discussions;Stack Overflow for Teams,GitHub Discussions,GitHub Discussions,Microsoft Teams,Microsoft Teams,Microsoft Teams,ChatGPT,NA,NA,Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies);Stack Overflow;Stack Exchange;Stack Overflow Blog or Podcast;Overflow API,Multiple times per day,Yes,Less than once per month or monthly,Quickly finding code solutions;Finding reliable guidance from community-vetted answers;Engage with community by commenting on questions and answers or voting on questions and answers,"Yes, definitely","No, and I don't plan to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Individual contributor,6,Agree,Disagree,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree,Neither agree nor disagree,1-2 times a week,1-2 times a week,Never,30-60 minutes a day,15-30 minutes a day,Amount of technical debt;Complexity of tech stack for build,DevOps function;Automated testing;Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),Traditional public search engine,Software Development,5,0,20,30,10,20,5,0,10,Appropriate in length,Easy,NA,7
37,I am a developer by profession,18-24 years old,"Independent contractor, freelancer, or self-employed",Remote,Apples,Contribute to open-source projects;Bootstrapping a business;School or academic work,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","School (i.e., University, College, etc)",NA,NA,9,8,Student,NA,NA,NA,NA,NA,Austria,NA,NA,Bash/Shell (all shells);C#;Java;OCaml;SQL,Bash/Shell (all shells);Java;SQL,Bash/Shell (all shells);Java;SQL,H2;MySQL,H2;MySQL;Neo4J,H2;MySQL,Google Cloud;Oracle Cloud Infrastructure (OCI),Google Cloud;Oracle Cloud Infrastructure (OCI),Google Cloud;Oracle Cloud Infrastructure (OCI),ASP.NET;ASP.NET CORE;Spring Boot,Spring Boot,Spring Boot,NA,NA,NA,NumPy;Pandas;Scikit-Learn;Spring Framework;Torch/PyTorch,Spring Framework;Torch/PyTorch,Spring Framework;Torch/PyTorch,Gradle;Kubernetes;Maven (build tool),Kubernetes;Maven (build tool),Kubernetes;Maven (build tool),Eclipse;IPython;Jupyter Notebook/JupyterLab;Notepad++;Visual Studio;Visual Studio Code,Eclipse,Eclipse,Ubuntu,Ubuntu,Airtable;GitHub Discussions;Markdown File;Obsidian;Stack Overflow for Teams,GitHub Discussions;Markdown File;Obsidian,GitHub Discussions;Markdown File;Obsidian,Discord;Whatsapp;Zoom,Discord;Zoom,Discord;Zoom,NA,NA,NA,Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies);Stack Overflow;Stack Exchange;Stack Overflow Blog or Podcast;Overflow API,Multiple times per day,Yes,Multiple times per day,Quickly finding code solutions;Finding reliable guidance from community-vetted answers;Showcase expertise with code solutions;Engage with community by commenting on questions and answers or voting on questions and answers;Learning new-to-me technology/techniques,"Yes, definitely","No, and I don't plan to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Appropriate in length,Easy,NA,NA
38,I am a developer by profession,25-34 years old,"Employed, full-time",Remote,Apples,Contribute to open-source projects;Bootstrapping a business;Freelance/contract work,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",On the job training;Online Courses or Certification,NA,NA,10,6,Data scientist or machine learning specialist,NA,NA,NA,NA,NA,"Iran, Islamic Republic of...",NA,NA,Python,Python,Python,Databricks SQL;Dynamodb;Elasticsearch;MongoDB;MySQL;Neo4J;PostgreSQL;SQLite,NA,NA,Amazon Web Services (AWS);Google Cloud;Hetzner;Microsoft Azure;PythonAnywhere,NA,NA,Django;FastAPI;Flask,NA,NA,NA,NA,NA,Apache Spark;CUDA;Hugging Face Transformers;Keras;mlflow;NumPy;Pandas;TensorFlow;Torch/PyTorch,NA,NA,Docker;Kubernetes;Make;npm;Terraform,NA,NA,Visual Studio Code,NA,NA,Windows,Ubuntu;Windows,Confluence;Jira;Markdown File;Obsidian;Trello,NA,NA,Google Meet;Slack;Whatsapp,NA,NA,Claude,NA,NA,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,I have never participated in Q&A on Stack Overflow,Quickly finding code solutions;Showcase expertise with code solutions;Engage with community by commenting on questions and answers or voting on questions and answers,"Yes, definitely",Yes,Favorable,Increase productivity,Somewhat trust,Bad at handling complex tasks,Writing code;Documenting code;Debugging and getting help;Testing code;Search for answers,Learning about a codebase;Deployment and monitoring;Predictive analytics,Project planning;Committing and reviewing code;Generating content or synthetic data,Debugging and getting help;Search for answers,,Writing code;Documenting code;Testing code,,,No,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Energy demand,"AI tools lack context of codebase,  internal architecture, and/or company knowledge;Lack of proper training and education on new tools;We don’t have the right policies in place to reduce security risks",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Appropriate in length,Easy,NA,NA
39,I am a developer by profession,35-44 years old,"Independent contractor, freelancer, or self-employed",Remote,Apples,I don’t code outside of work,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Coding Bootcamp,NA,NA,8,7,"Developer, full-stack",NA,NA,NA,NA,NA,France,NA,NA,HTML/CSS;JavaScript;Python;Ruby;SQL;TypeScript,HTML/CSS;JavaScript;Python;Ruby;SQL;TypeScript,HTML/CSS;JavaScript;Python;Ruby;SQL;TypeScript,MongoDB;PostgreSQL,MongoDB;PostgreSQL,MongoDB;PostgreSQL,Amazon Web Services (AWS);Heroku,Amazon Web Services (AWS);Heroku,Amazon Web Services (AWS);Heroku,jQuery;Ruby on Rails;Vue.js,Ruby on Rails;Vue.js,Ruby on Rails;Vue.js,NA,NA,NA,NumPy;Pandas,NumPy;Pandas,NumPy;Pandas,Homebrew;Make;pnpm;Vite;Yarn,Homebrew;pnpm;Vite,Homebrew;pnpm;Vite,Vim;Visual Studio Code,Vim;Visual Studio Code,Vim;Visual Studio Code,MacOS,MacOS,Notion;Trello,Trello,Trello,Google Meet;Microsoft Teams;Slack,Google Meet;Microsoft Teams;Slack,Google Meet;Microsoft Teams;Slack,NA,NA,NA,Stack Overflow;Stack Exchange,A few times per week,Yes,Less than once per month or monthly,Quickly finding code solutions,"Yes, somewhat","No, and I don't plan to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Appropriate in length,Neither easy nor difficult,NA,NA
40,I am a developer by profession,Under 18 years old,"Student, full-time",NA,Apples,NA,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Books / Physical media;Other online resources (e.g., videos, blogs, forum, online community);Online Courses or Certification;Friend or family member","Technical documentation;Blogs;Books;Written Tutorials;Stack Overflow;Coding sessions (live or recorded);Social Media;How-to videos;Interactive tutorial;Video-based Online Courses;Written-based Online Courses;AI;Online challenges (e.g., daily or weekly coding challenges);Other (Please specify):",API document(s) and/or SDK document(s);User guides or README files found in the source repository;First-party knowledge base;Traditional public search engine;AI-powered search/dev tool (free),1,Less than 1 year,"Developer, full-stack",NA,NA,NA,NA,NA,Saudi Arabia,NA,NA,C;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,Assembly;Bash/Shell (all shells);C;C++;Dart;Go;Java;Python;Rust;Solidity;SQL;TypeScript,C;Java;Python;SQL;TypeScript,MySQL;PostgreSQL;SQLite,Cassandra;MongoDB;MySQL;PostgreSQL,MySQL;PostgreSQL,Firebase;Netlify,Amazon Web Services (AWS),NA,Django;Express;Flask;Next.js;Node.js;React,Django;FastAPI;jQuery;React;Vue.js,Django;React,NA,NA,NA,NA,NA,NA,Make;npm;pnpm;Vite;Webpack;Yarn,Docker;Kubernetes;Make;pnpm;Vite,Make;pnpm;Vite,IntelliJ IDEA;Visual Studio,IntelliJ IDEA;Visual Studio,IntelliJ IDEA;Visual Studio,Ubuntu;Windows,Ubuntu,Jira;Notion,Jira;Notion,Jira;Notion,Discord;Telegram;Whatsapp;Zoom,Discord;Telegram;Whatsapp;Zoom,Discord;Telegram;Whatsapp;Zoom,Bing AI;ChatGPT,ChatGPT,ChatGPT,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Less than once per month or monthly,Finding reliable guidance from community-vetted answers,"No, not really",Yes,Indifferent,Increase productivity;Speed up learning;Improve accuracy in coding,Neither trust nor distrust,"Good, but not great at handling complex tasks",,Project planning;Writing code;Documenting code;Debugging and getting help;Testing code;Committing and reviewing code;Deployment and monitoring;Predictive analytics;Search for answers;Generating content or synthetic data,,NA,NA,NA,NA,NA,No,Circulating misinformation or disinformation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Appropriate in length,Easy,NA,NA
41,I am a developer by profession,25-34 years old,"Employed, full-time",Remote,Apples,Hobby;Professional development or self-paced learning from online courses,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Colleague;Other online resources (e.g., videos, blogs, forum, online community);School (i.e., University, College, etc)",Technical documentation;Blogs;Written Tutorials;Stack Overflow,API document(s) and/or SDK document(s);User guides or README files found in the source repository;First-party knowledge base,9,7,"Developer, full-stack",NA,NA,NA,NA,NA,Brazil,NA,NA,HTML/CSS;JavaScript;Ruby;SQL,Elixir;Go;HTML/CSS;Ruby;Rust;SQL,HTML/CSS;Ruby;SQL,PostgreSQL;Redis;SQLite,PostgreSQL;Redis;SQLite,PostgreSQL;Redis;SQLite,Amazon Web Services (AWS);Fly.io;Google Cloud;Render,Fly.io,Fly.io,React;Ruby on Rails,Phoenix;Ruby on Rails;Vue.js,Ruby on Rails,NA,NA,NA,NA,NA,NA,Docker;Homebrew;npm;Webpack;Yarn,Docker;Homebrew;npm;Yarn,Docker;Homebrew;npm;Yarn,RubyMine,Neovim;RubyMine;Vim,RubyMine,Android;Ubuntu,MacOS,Confluence;GitHub Discussions;Jira;Miro;Notion;Obsidian;Trello,Confluence;GitHub Discussions;Jira;Miro;Notion;Trello,Confluence;GitHub Discussions;Jira;Miro;Notion;Trello,Discord;Slack;Telegram;Whatsapp;Zoom,Discord;Matrix;Slack;Telegram;Whatsapp,Discord;Slack;Telegram;Whatsapp,GitHub Copilot,GitHub Copilot,GitHub Copilot,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,A few times per week,Quickly finding code solutions;Finding reliable guidance from community-vetted answers,Neutral,Yes,Very favorable,Increase productivity;Greater efficiency;Speed up learning;Improve accuracy in coding;Make workload more manageable,Somewhat trust,Very poor at handling complex tasks,Writing code;Documenting code,Learning about a codebase;Project planning;Debugging and getting help;Testing code;Committing and reviewing code;Search for answers,Deployment and monitoring;Predictive analytics;Generating content or synthetic data,,,Writing code;Documenting code,,,No,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Imitating a person's likeness,"AI tools lack context of codebase,  internal architecture, and/or company knowledge;Lack of proper training and education on new tools",Yes,Individual contributor,7,Disagree,Strongly agree,Neither agree nor disagree,Disagree,Strongly agree,Neither agree nor disagree,Agree,Disagree,Agree,1-2 times a week,1-2 times a week,1-2 times a week,30-60 minutes a day,Less than 15 minutes a day,Complexity of tech stack for deployment;Patching/updating core components,DevOps function;Automated testing;Observability tools;Knowledge sharing community;Microservices;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),Traditional public search engine,Software Development,0,0,0,10,10,0,0,10,0,Appropriate in length,Easy,NA,7
42,I am a developer by profession,35-44 years old,"Employed, full-time",Remote,Apples,Hobby;Contribute to open-source projects;Professional development or self-paced learning from online courses,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Books / Physical media;Other online resources (e.g., videos, blogs, forum, online community);Online Courses or Certification",Written Tutorials;Stack Overflow;AI,NA,15,12,Research & Development role,NA,NA,NA,NA,NA,Italy,NA,NA,Bash/Shell (all shells);C++;Python,Go,NA,NA,NA,NA,Amazon Web Services (AWS);Microsoft Azure,Amazon Web Services (AWS),Amazon Web Services (AWS),React,NA,NA,NA,NA,NA,CUDA;OpenGL;Torch/PyTorch,CUDA,CUDA,Docker;Kubernetes;Make;npm,NA,NA,Vim;Visual Studio Code,Visual Studio Code,Visual Studio Code,MacOS;Ubuntu;Windows,Ubuntu,Jira,NA,NA,Discord;Microsoft Teams;Slack;Wire,Slack,Slack,ChatGPT,ChatGPT,ChatGPT,Stack Overflow;Stack Exchange;Stack Overflow Blog or Podcast,Daily or almost daily,Yes,Less than once per month or monthly,Quickly finding code solutions;Finding reliable guidance from community-vetted answers,"Yes, somewhat",Yes,Very favorable,Increase productivity;Greater efficiency;Speed up learning,Somewhat trust,Neither good or bad at handling complex tasks,Learning about a codebase;Writing code;Documenting code;Search for answers;Generating content or synthetic data,Debugging and getting help,,Documenting code,Writing code,Learning about a codebase;Search for answers;Generating content or synthetic data,,,No,NA,We don’t have the right policies in place to reduce security risks;Other (please specify):,Yes,Individual contributor,16,Agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,Disagree,3-5 times a week,1-2 times a week,10+ times a week,60-120 minutes a day,15-30 minutes a day,Amount of technical debt;Complexity of tech stack for build;Reliability of tools/systems used in work,Automated testing;AI-assisted technology tool(s);Microservices;Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),A coworker,Software Development,30,20,0,10,0,0,0,40,0,Appropriate in length,Easy,NA,7
43,I am a developer by profession,35-44 years old,"Employed, full-time",Remote,Apples,Hobby;Contribute to open-source projects;Bootstrapping a business;Professional development or self-paced learning from online courses,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Other online resources (e.g., videos, blogs, forum, online community)","Technical documentation;Written Tutorials;Stack Overflow;Social Media;How-to videos;Interactive tutorial;Video-based Online Courses;Online challenges (e.g., daily or weekly coding challenges)",API document(s) and/or SDK document(s);User guides or README files found in the source repository;Traditional public search engine,22,15,"Developer, full-stack",NA,NA,NA,NA,NA,Ireland,NA,NA,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;Rust;TypeScript,C;Cobol;Fortran;Go;Zig,NA,MongoDB;PostgreSQL,Supabase,NA,Amazon Web Services (AWS);Digital Ocean;Firebase;Vercel,Cloudflare;Supabase,NA,Fastify;Next.js;Node.js;React,Htmx,NA,Rasberry Pi,NA,NA,Opencv;OpenGL;Tauri;TensorFlow,Electron;React Native;Tauri;TensorFlow,Tauri;TensorFlow,Bun;Docker;npm;Vite,Bun;Docker;Kubernetes;Vite,Bun;Docker;Vite,Visual Studio Code,Neovim;Vim;Visual Studio Code,Visual Studio Code,MacOS,MacOS;Ubuntu,Clickup,GitHub Discussions,NA,Slack,Discord,NA,ChatGPT;Codeium;OpenAI Codex,Codeium;OpenAI Codex,Codeium;OpenAI Codex,Stack Overflow;Stack Exchange;Overflow API,A few times per month or weekly,Yes,I have never participated in Q&A on Stack Overflow,Quickly finding code solutions,"Yes, somewhat",Yes,Indifferent,Greater efficiency;Speed up learning;Make workload more manageable,Neither trust nor distrust,Neither good or bad at handling complex tasks,Project planning;Writing code;Committing and reviewing code;Search for answers,Learning about a codebase;Documenting code;Debugging and getting help;Testing code;Deployment and monitoring,Predictive analytics;Generating content or synthetic data,Committing and reviewing code;Search for answers,Project planning,Writing code,,,No,Missing or incorrect attribution for sources of data;Energy demand,"Don’t trust the output or answers;AI tools lack context of codebase,  internal architecture, and/or company knowledge;They create more work (more code/PRs to review, etc.)",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Too long,Neither easy nor difficult,NA,NA
44,I am a developer by profession,35-44 years old,"Employed, full-time;Student, full-time",In-person,Apples,Hobby;School or academic work,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Books / Physical media;School (i.e., University, College, etc)",NA,NA,22,14,Academic researcher,NA,NA,NA,NA,NA,Austria,NA,NA,Assembly;C#;C++;HTML/CSS;JavaScript;MATLAB;Python;SQL;VBA,Assembly;C#;C++;HTML/CSS;JavaScript;Python;SQL,Assembly;C#;C++;HTML/CSS;JavaScript;Python;SQL,Microsoft SQL Server,Microsoft SQL Server,Microsoft SQL Server,Microsoft Azure,Microsoft Azure,Microsoft Azure,ASP.NET;ASP.NET CORE,ASP.NET;ASP.NET CORE,ASP.NET;ASP.NET CORE,CMake;MSVC,MSVC,MSVC,.NET (5+) ;.NET Framework (1.0 - 4.8);CUDA;DirectX;NumPy;OpenGL,.NET (5+) ;CUDA;DirectX;NumPy;OpenGL,.NET (5+) ;CUDA;DirectX;NumPy;OpenGL,Docker;MSBuild;NuGet;Pip;Unity 3D;Unreal Engine;Visual Studio Solution,MSBuild;NuGet;Pip;Unity 3D;Unreal Engine;Visual Studio Solution,MSBuild;NuGet;Pip;Unity 3D;Unreal Engine;Visual Studio Solution,Jupyter Notebook/JupyterLab;Notepad++;Visual Studio;Visual Studio Code,Notepad++;Visual Studio;Visual Studio Code,Notepad++;Visual Studio;Visual Studio Code,Windows;Windows Subsystem for Linux (WSL),Windows;Windows Subsystem for Linux (WSL),Jira;Markdown File;Miro;Wikis,Jira;Markdown File;Miro;Wikis,Jira;Markdown File;Miro;Wikis,Discord;Microsoft Teams;Whatsapp;Zoom,Discord;Microsoft Teams;Whatsapp,Discord;Microsoft Teams;Whatsapp,ChatGPT;GitHub Copilot;Visual Studio Intellicode,ChatGPT;Visual Studio Intellicode,ChatGPT;Visual Studio Intellicode,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Multiple times per day,Quickly finding code solutions;Engage with community by commenting on questions and answers or voting on questions and answers,"Yes, definitely","No, and I don't plan to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Individual contributor,14,Strongly agree,Disagree,Agree,Strongly agree,Strongly agree,Disagree,Agree,Disagree,Strongly agree,6-10 times a week,10+ times a week,Never,60-120 minutes a day,Over 120 minutes a day,Amount of technical debt,Automated testing;AI-assisted technology tool(s);Continuous integration (CI) and (more often) continuous delivery,NA,Traditional public search engine,Higher Education,0,0,0,30,10,20,30,10,0,Appropriate in length,Easy,NA,9
